,City Name,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,77.484,-69.3632,32.11,77,97,11.68
1,Qasigiannguit,68.8193,-51.1922,34.7,81,40,5.68
2,Baruun-Urt,46.6806,113.2792,43.74,20,12,15.57
3,Bluff,-46.6,168.3333,57.61,80,98,23.62
4,Ushuaia,-54.8,-68.3,43.23,82,96,11.65
5,Butaritari,3.0707,172.7902,82.94,77,97,12.66
6,Coari,-4.085,-63.1414,79.2,94,96,5.66
7,Rikitea,-23.1203,-134.9692,76.46,66,23,11.52
8,Leningradskiy,69.3833,178.4167,27.55,75,24,8.75
9,Carnarvon,-24.8667,113.6333,82.27,41,0,19.86
10,Antigonish,45.6169,-61.9986,47.57,91,100,12.64
11,Murchison,-41.8,172.3333,60.62,65,69,2.71
12,Barrow,71.2906,-156.7887,26.4,86,90,8.79
13,Atuona,-9.8,-139.0333,79.68,71,87,14.54
14,New Norfolk,-42.7826,147.0587,64.89,70,78,5.73
15,Albany,42.6001,-73.9662,70.21,58,89,10.4
16,Rørvik,64.8621,11.2373,38.86,67,58,12.17
17,Paamiut,61.994,-49.6678,36.63,89,100,17.09
18,Yar-Sale,66.8333,70.8333,26.62,88,96,8.52
19,Bethel,41.3712,-73.414,76.78,48,93,8.01
20,Rome,43.2128,-75.4557,65.89,81,97,7.16
21,Maţāy,28.419,30.7792,95.4,13,0,16.78
22,Bredasdorp,-34.5322,20.0403,66.85,57,37,12.71
23,Elliot Lake,46.3834,-82.6331,46.44,95,100,9.37
24,Hithadhoo,-0.6,73.0833,84.16,69,96,7.63
25,Puri,19.8,85.85,87.12,70,42,18.7
26,Tasiilaq,65.6145,-37.6368,35.62,83,76,3.31
27,Castro,-24.7911,-50.0119,69.35,64,90,7.18
28,Jamestown,42.097,-79.2353,70.36,78,100,15.48
29,Punta Arenas,-53.15,-70.9167,45.37,64,29,28.27
30,Cape Town,-33.9258,18.4232,64.26,68,18,15.46
31,Myaundzha,63.0494,147.1858,32.99,95,89,3.47
32,Coruripe,-10.1256,-36.1756,84.83,67,86,11.52
33,Kapaa,22.0752,-159.319,75.9,78,90,12.75
34,Lorengau,-2.0226,147.2712,85.12,67,84,6.6
35,Qui Nhon,13.7667,109.2333,82.81,72,100,9.53
36,Ilulissat,69.2167,-51.1,34.83,71,19,7.07
37,Dunedin,-45.8742,170.5036,61.68,71,95,5.21
38,Guozhen,34.3659,107.359,86.16,18,1,17.69
39,Mataura,-46.1927,168.8643,59.79,78,98,6.44
40,Örnsköldsvik,63.2909,18.7153,38.08,70,100,5.03
41,Palmer,42.1584,-72.3287,73.51,46,86,6.4
42,Port Alfred,-33.5906,26.891,72.45,60,97,17.52
43,Līsakovsk,52.5369,62.4936,57.27,48,85,11.18
44,Havelock,34.8791,-76.9013,79.02,48,98,16.53
45,Puerto Ayora,-0.7393,-90.3518,80.6,80,64,10.31
46,George Town,5.4112,100.3354,84.83,70,76,6.91
47,La Ronge,55.1001,-105.2842,33.98,40,100,9.13
48,Alofi,-19.0595,-169.9187,82.29,34,91,20.83
49,‘Āhuimanu,21.4447,-157.8378,77.63,69,75,10.04
50,Avarua,-21.2078,-159.775,84.2,74,20,14.63
51,Lompoc,34.6391,-120.4579,71.83,39,0,14.5
52,Half Moon Bay,37.4636,-122.4286,66.15,64,7,11.14
53,Jerantut,3.936,102.3626,87.06,68,99,2.21
54,Buala,-8.145,159.5921,82.65,74,66,4.76
55,Tuatapere,-46.1333,167.6833,60.85,81,92,8.01
56,Norman Wells,65.282,-126.8329,32,65,52,13
57,Itaituba,-4.2761,-55.9836,82.94,76,100,3.02
58,Ulladulla,-35.35,150.4667,67.44,73,60,7.43
59,Kharp,66.8014,65.8081,28.11,92,100,7.45
60,Severo-Kuril'sk,50.6789,156.125,39,86,99,9.8
61,Bījār,35.8668,47.6051,71.02,21,0,12.46
62,City of San Pedro,14.35,121.0167,91.45,51,89,9.46
63,Ribeira Grande,38.5167,-28.7,60.98,81,71,18.86
64,Huambo,-12.7761,15.7392,78.55,46,6,5.95
65,Santa Cruz,30.4202,-9.5982,73.13,54,1,19.19
66,Brae,60.3964,-1.353,44.73,60,93,14.7
67,Solnechnyy,50.7214,136.6319,47.62,82,100,6.42
68,Alice Springs,-23.7,133.8833,75.99,30,0,14.29
69,Margherita,27.2833,95.6833,103.53,18,2,6.76
70,Hitiaa,-17.6,-149.3,87.8,62,24,12.08
71,Honningsvåg,70.9821,25.9704,30.34,64,100,19.62
72,Saint Paul Harbor,57.79,-152.4072,44.6,87,90,14.63
73,Magadan,59.5667,150.8,35.76,80,17,5.61
74,Saint-Philippe,-21.3585,55.7679,77.94,82,42,15.46
75,Upernavik,72.7868,-56.1549,31.12,84,79,15.55
76,Lagoa,39.05,-27.9833,59.88,79,98,16.93
77,Villacarrillo,38.1156,-3.0848,63.32,59,99,14.12
78,Bozoum,6.3193,16.3799,95.11,32,75,8.46
79,Koungou,-12.7336,45.2042,83.23,73,12,11.07
80,St. George's,12.0564,-61.7485,82.4,71,83,14.14
81,Bose,45.4612,8.0137,57.83,73,99,4.27
82,Saint-François,46.4154,3.9054,53.78,96,100,9.37
83,Narsaq,60.9167,-46.05,44.6,65,33,6.29
84,Cabo San Lucas,22.8909,-109.9124,75.52,56,8,16.28
85,Nome,64.5011,-165.4064,31.08,64,20,13.94
86,Puerto del Rosario,28.5004,-13.8627,68.54,68,67,11.61
87,Arroyo de la Encomienda,41.6096,-4.7969,61.61,64,89,12.44
88,San Patricio,28.017,-97.5169,86.27,65,77,25.59
89,Umeå,63.8284,20.2597,38.61,57,97,6.04
90,Oruzgan,32.8333,66.0,82.31,18,100,14.16
91,Caála,-12.8525,15.5606,77.68,47,12,6.51
92,Erzin,36.9559,36.2,80.85,54,58,6.6
93,Beyneu,45.3167,55.2,70.18,27,100,17.87
94,Hobart,-42.8794,147.3294,64.54,66,73,5.12
95,Lata,40.1629,-8.3327,61.92,73,76,7.67
96,Port Hardy,50.6996,-127.4199,49.3,93,94,17.07
97,Buchanan,5.8808,-10.0467,84.6,66,96,8.21
98,Vao,-22.6667,167.4833,74.73,55,67,20.8
99,Tumut,-35.3,148.2167,71.31,44,24,5.35
100,Vaini,-21.2,-175.2,79.57,81,100,22.5
101,Laas,46.6166,10.7002,51.78,90,88,4.07
102,Santa Rosa,14.3122,121.1114,90.91,56,87,7.05
103,Mar del Plata,-38.0023,-57.5575,71.4,61,73,11.88
104,Busselton,-33.65,115.3333,73,64,100,22.73
105,Nemuro,43.3236,145.575,44.85,80,100,11.52
106,Yining,29.0361,114.5636,80.55,43,76,8.68
107,Bathsheba,13.2167,-59.5167,80.74,71,100,18.28
108,Chokurdakh,70.6333,147.9167,27.55,90,92,12.93
109,Faanui,-16.4833,-151.75,82.29,71,79,12.77
110,Bambous Virieux,-20.3428,57.7575,78.15,80,37,18.57
111,Wattegama,6.7989,81.4808,91.26,54,99,4.47
112,Kuchinda,21.7333,84.35,110.16,17,27,9.89
113,Hermanus,-34.4187,19.2345,63.09,75,73,10.47
114,Portland,45.5234,-122.6762,70.92,39,85,3.06
115,Ostrovnoy,68.0531,39.5131,27.59,79,98,14.56
116,Tarko-Sale,64.9225,77.785,34.16,100,100,16.58
117,Port Blair,11.6667,92.75,86.61,64,26,4.61
118,Senno,59.5336,33.9167,45.52,42,98,7.72
119,Provideniya,64.3833,-173.3,36.05,62,25,9.55
120,Blagoyevo,63.3667,47.9167,41.34,34,99,6.55
121,Yellowknife,62.456,-114.3525,24.03,65,89,16.84
122,Krosno Odrzańskie,52.0549,15.0988,59.59,43,58,9.93
123,Lábrea,-7.2586,-64.7981,87.48,67,84,5.12
124,Smithers,54.7804,-127.1743,50,72,94,3.83
125,Caborca,30.5838,-111.101,75,26,91,19.28
126,Yulara,-25.2406,130.9889,78.37,27,0,13
127,Takoradze,4.8845,-1.7554,87.66,66,97,12.03
128,Rafaela,-31.2503,-61.4867,71.02,55,0,6.4
129,Katsuura,35.1333,140.3,66.72,79,95,35.08
130,Yulin,22.6333,110.15,80.92,60,97,6.67
131,Tiarei,-17.5333,-149.3333,87.8,62,24,12.44
132,Cayenne,4.9333,-52.3333,80.01,83,97,10.18
133,Kaitangata,-46.2817,169.8464,60.6,72,99,9.37
134,Riyadh,24.6877,46.7219,96.17,14,0,14.14
135,Honiara,-9.4333,159.95,83.71,70,85,4.61
136,East London,-33.0153,27.9116,72.5,56,100,16.62
137,Tema,5.667,-0.0166,89.96,61,98,13.04
138,Mogadishu,2.0371,45.3438,86.29,64,9,13.13
139,Dikson,73.5069,80.5464,29.93,86,82,8.72
140,Khatanga,71.9667,102.5,34.88,99,100,12.59
141,Mount Gambier,-37.8333,140.7667,70.5,56,6,7.9
142,Amga,60.8953,131.9608,35.82,92,100,5.17
143,Naze,28.3667,129.4833,69.8,90,100,23.91
144,Victoria Point,-27.5833,153.3,71.76,70,100,13.13
145,Souillac,-20.5167,57.5167,78.31,80,27,18.39
146,Jumla,29.2747,82.1838,68.07,32,53,6.71
147,Krasnoarmeysk,51.0239,45.6969,54.75,42,3,9.6
148,Skuratovskiy,54.1108,37.6011,49.5,56,84,11.05
149,Nador,35.174,-2.9287,68.68,68,100,9.26
150,Turan,16.0678,108.2208,82.81,69,59,11.3
151,Province of Mantua,45.1667,10.7833,58.75,66,98,6.76
152,Airai,-8.9266,125.4092,76.87,41,68,2.59
153,Kudahuvadhoo,2.6708,72.8944,84.04,63,22,9.06
154,Lebu,-37.6167,-73.65,63.01,70,99,6.78
155,Eyl,7.9803,49.8164,88.99,58,58,14.41
156,Mahébourg,-20.4081,57.7,78.19,80,29,19.06
157,Hilo,19.7297,-155.09,78.33,51,75,8.3
158,Kavieng,-2.5744,150.7967,84.4,71,94,10.83
159,Bandarbeyla,9.4942,50.8122,86.31,66,100,12.75
160,Xihe,31.6864,113.4659,85.8,35,0,16.13
161,Wasilla,61.5814,-149.4394,54.61,37,61,6.26
162,Ahipara,-35.1667,173.1667,64.15,55,15,10.16
163,Panabá,21.2833,-88.2667,96.19,33,10,16.6
164,Māngrol,21.1167,70.1167,88.74,54,83,16.4
165,São João da Barra,-21.6403,-41.0511,77.38,71,55,12.26
166,Noumea,-22.2763,166.4572,74.75,67,7,15.82
167,Coahuayana Viejo,18.7333,-103.6833,89.64,47,4,9.31
168,Aklavik,68.2191,-135.0107,36.55,56,11,19.46
169,Olafsvik,64.8945,-23.7142,44.19,70,9,7.11
170,Geraldton,-28.7667,114.6,77.2,56,100,16.75
171,Coracora,-15.0333,-73.7833,58.05,38,100,11.05
172,Lavrentiya,65.5833,-171.0,27.57,90,16,7.87
173,Ørje,59.4802,11.6602,51.93,28,61,4.61
174,Novy Urengoy,66.0833,76.6333,32.09,91,96,9.17
175,Fonte Boa,-2.4959,-66.2662,76.46,93,100,4.52
176,Cidreira,-30.1811,-50.2056,68.43,67,88,14.79
177,Cherskiy,68.75,161.3,30.36,97,100,11.21
178,Almásfüzitő,47.7275,18.2615,59.13,50,100,11.25
179,Verāval,20.9,70.3667,89.26,52,81,17.16
180,Ixtapa,20.7,-105.2,88.39,47,22,9.82
181,Tiksi,71.6872,128.8694,31.78,84,16,10.94
182,Rundu,-17.9333,19.7667,89.44,28,30,7.72
183,Laguna,38.421,-121.4238,84.45,16,1,8.1
184,Batemans Bay,-35.7167,150.1833,67.55,68,53,6.33
185,Kuusamo,65.9667,29.1833,34.52,49,100,8.63
186,Iqaluit,63.7506,-68.5145,30.67,93,100,12.95
187,Morales,2.757,-76.6172,68.63,84,100,3
188,Lubao,14.9167,120.55,93.76,48,99,10.74
189,Arraial do Cabo,-22.9661,-42.0278,75.76,64,6,9.13
190,Almenara,-16.1836,-40.6944,87.64,50,13,4.9
191,Krasnosel'kup,65.7,82.4667,34.3,95,97,13.78
192,Pevek,69.7008,170.3133,25.5,81,100,11.14
193,Grindavik,63.8424,-22.4338,45.16,68,27,15.66
194,Puerto Escondido,15.85,-97.0667,88.05,61,59,11.18
195,Cururupu,-1.8283,-44.8683,86.77,62,100,5.95
196,Ancud,-41.8697,-73.8203,56.46,96,100,12.86
197,Lima,-12.0432,-77.0282,68.81,79,98,10.6
198,Russell,32.3502,-85.1999,84.33,48,63,8.57
199,Valle de Juárez,19.9333,-102.9333,85.55,18,24,12.19
200,Bull Savanna,17.8868,-77.5902,83.37,53,93,10.58
201,Longyearbyen,78.2186,15.6401,21.24,75,100,5.57
202,Kirensk,57.7853,108.1119,42.17,43,2,10.67
203,Kahului,20.8947,-156.47,77.88,69,40,6.35
204,Biak,-0.9131,122.8766,84.15,64,23,4.63
205,Saskylakh,71.9167,114.0833,34.56,84,92,12.48
206,Kandrian,-6.2167,149.55,79.83,85,100,5.73
207,Aripuanã,-9.1667,-60.6333,89.2,57,62,4.27
208,Mount Isa,-20.7333,139.5,85.91,28,0,16.02
209,Elk City,35.412,-99.4043,75.11,41,50,18.19
210,Río Gallegos,-51.6226,-69.2181,50.94,54,23,35.72
211,Gilgit,35.9221,74.3087,73.71,26,0,4.7
212,Waipawa,-41.4122,175.5153,58.84,60,0,4.7
213,Hong Kong,22.2855,114.1577,80.2,62,83,8.81
214,Sur,22.5667,59.5289,93.67,32,100,9.42
215,Port Augusta,-32.5,137.7667,77.25,37,2,9.89
216,Sobolevo,54.4299,31.8996,53.67,56,100,12.39
217,Kungurtug,50.5994,97.5228,48.02,65,72,15.93
218,Samarai,-10.6167,150.6667,80.4,72,100,15.12
219,Altamont,42.2068,-121.7372,67.75,27,29,4.32
220,Rocha,-34.4833,-54.3333,67.39,65,0,6.62
221,Pangnirtung,66.1451,-65.7125,34.27,68,100,8.23
222,Guantánamo,20.1444,-75.2092,92.52,34,5,15.52
223,Egvekinot,66.3167,-179.1667,22.3,96,100,6.15
224,Sambava,-14.2667,50.1667,83.23,68,9,14.16
225,Ponta do Sol,32.6667,-17.1,64.63,79,63,5.48
226,Arrondissement de Rennes,48.1667,-1.6667,58.37,48,95,10.22
227,Wuzhou,23.4833,111.3167,83.23,54,71,3.85
228,Namatanai,-3.6667,152.4333,85.73,69,83,11.41
229,Banihāl,33.4167,75.2,72.73,44,42,7.63
230,Abū Zabad,12.35,29.25,101.16,12,29,18.19
231,Abalak,58.1286,68.5944,52.23,33,95,16.15
232,Diamantino,-14.4086,-56.4461,83.82,58,4,7.58
233,San Cristobal,7.7669,-72.225,81.64,64,100,4.07
234,Iskateley,67.6803,53.1512,32.86,69,77,10.31
235,Santa Cruz de la Sierra,-17.8,-63.1667,77.79,38,100,10.45
236,Falkenberg,56.9055,12.4912,48.61,44,62,7.65
237,Aksu,41.1231,80.2644,84.79,9,0,6.89
238,Chui,-33.6971,-53.4616,67.96,59,0,6.82
239,Isabela,6.7085,121.9711,85.01,70,33,2.86
240,Talnakh,69.4865,88.3972,34.38,99,100,11.21
241,Tuktoyaktuk,69.4541,-133.0374,26.6,82,19,16.02
242,Sisimiut,66.9395,-53.6735,39.65,70,100,8.3
243,Campoverde,-8.4753,-74.8058,83.21,58,100,4.45
244,Nouadhibou,20.931,-17.0347,66.24,83,0,21
245,Nikolskoye,59.7035,30.7861,44.31,51,74,7.49
246,Port Lincoln,-34.7333,135.8667,71.87,42,10,7.23
247,Mehamn,71.0357,27.8492,28.02,65,100,16.78
248,Kargopol',61.5071,38.9456,42.37,63,100,9.24
249,Timmins,48.4669,-81.3331,59,41,100,7.45
250,Marawi,7.9986,124.2928,78.75,75,91,3.67
251,Atambua,-9.1061,124.8925,82.71,55,21,3.94
252,Phalodi,27.1333,72.3667,106.14,12,20,14.36
253,Kruisfontein,-34.0033,24.7314,74.01,45,52,12.03
254,Bantry,51.6833,-9.45,53.76,58,100,12.57
255,Aykhal,66.0,111.5,32.47,86,7,14.56
256,Dresden,51.0509,13.7383,62.42,47,20,9.98
257,Dābhol,17.6,73.1667,92.35,47,2,15.64
258,Zelenoborskiy,66.845,32.3622,34.23,52,100,10.4
259,Santa Cruz de Tenerife,28.4682,-16.2546,67.62,68,20,8.19
260,Panzhihua,26.5851,101.7128,82.96,44,88,4.29
261,Alexandria,31.2156,29.9553,75.04,42,0,12.84
262,Mirny,62.5353,113.9611,38.64,53,39,6.91
263,Qaqortoq,60.7167,-46.0333,44.6,74,21,9.66
264,Porto Real,-22.4197,-44.2903,76.82,78,81,6.82
265,Srednekolymsk,67.45,153.6833,29.84,93,91,7.27
266,Nanortalik,60.1432,-45.2371,37.78,85,13,8.12
267,Coquimbo,-29.9533,-71.3436,65.28,70,66,6.98
268,Maniitsoq,65.4167,-52.9,37.27,65,100,9.26
269,Ryde,50.73,-1.1621,50.49,74,39,21.72
270,Abonnema,4.7084,6.7931,83.75,75,100,8.3
271,Fortuna,40.5982,-124.1573,64.63,68,6,8.12
272,Kirksville,40.1948,-92.5833,71.87,76,95,11.74
273,Şabrātah,32.7933,12.4885,74.68,56,47,12.88
274,Hirado,33.3597,129.5531,64.08,71,100,16.82
275,Sakakah,29.9697,40.2064,90.97,12,0,8.84
276,Itzig,49.5842,6.1736,61.93,54,14,7.76
277,Karpogory,64.0019,44.4451,42.55,34,92,9.53
278,Alekseyevskaya,50.2896,42.1845,59.45,36,3,5.37
279,Hamilton,39.1834,-84.5333,76.93,65,99,11.27
280,San Quintín,30.4833,-115.95,65.43,57,0,14.12
281,Pisco,-13.7,-76.2167,69.87,77,90,8.48
282,Gaza,31.5,34.4667,78.87,50,1,19.44
283,Taltal,-25.4,-70.4833,67.93,69,2,7.09
284,Avera,33.194,-82.5271,82.15,53,87,9.78
285,Yanam,16.7333,82.2167,95.43,45,8,11.97
286,Port Elizabeth,-33.918,25.5701,72.32,61,81,13.96
287,Lüderitz,-26.6481,15.1594,71.15,58,0,21.03
288,Guerrero Negro,27.9769,-114.0611,67.98,54,0,19.84
289,Necochea,-38.5473,-58.7368,72.91,60,95,13.2
290,Evensk,61.95,159.2333,33.39,65,8,10.58
291,Kholm,59.2667,32.85,46.92,40,92,7.78
292,Seoul,37.5683,126.9778,70.12,23,23,14.27
293,Tocopilla,-22.092,-70.1979,71.29,65,2,8.43
294,Dingle,10.9995,122.6711,90.64,55,46,10.67
295,Dan Khun Thot,15.2085,101.7714,82.62,68,99,10.33
296,Mareeba,-17.0,145.4333,74.91,80,65,6.71
297,Hasaki,35.7333,140.8333,65.88,78,90,34.81
298,Stephenville,32.2207,-98.2023,80.01,77,90,21.59
299,Marabu,4.4148,114.0089,87.22,62,51,9.28
300,Camocim,-2.9022,-40.8411,84.81,68,82,11.92
301,Vila Franca do Campo,37.7167,-25.4333,62.42,77,100,9.35
302,Horconcitos,8.4682,-81.8007,84,43,66,5.82
303,Umluj,25.0213,37.2685,90.64,45,0,13.04
304,Haifa,32.8156,34.9892,77.49,60,1,19.04
305,La Seyne-sur-Mer,43.0982,5.8847,60.91,81,94,8.37
306,Rawson,-43.3002,-65.1023,65.64,34,100,12.46
307,General Roca,-39.0333,-67.5833,75.11,26,71,10.29
308,Yārāda,17.65,83.2667,87.67,65,25,16.46
309,Braço do Norte,-28.275,-49.1656,74.39,44,0,5.28
310,Waingapu,-9.6567,120.2641,84.29,50,28,7.67
311,Cordele,31.9635,-83.7824,83.8,54,87,10.83
312,Loíza,18.4313,-65.8802,79.77,69,92,12.93
313,Asău,46.4333,26.4,62.28,69,63,6.08
314,Gobabis,-22.45,18.9667,82.04,24,0,16.51
315,Roebourne,-20.7833,117.1333,92.08,22,0,13.29
316,Makkah al Mukarramah,21.4267,39.8261,100.76,23,0,15.5
317,Undory,54.6085,48.3928,48.31,61,34,15.79
318,Faya,18.3851,42.4509,69.93,38,11,13.38
319,Lowestoft,52.4752,1.7516,48.47,73,32,22.66
320,Khani,41.9563,42.9566,74.35,37,72,6.17
321,Playa del Carmen,20.6274,-87.0799,87.39,50,10,10.4
322,Igarka,67.4667,86.5833,33.42,99,99,11.25
323,Tamworth,52.634,-1.6959,50.86,58,97,18.1
324,Saint Stephen,50.3333,-4.9,48.2,83,95,16.46
325,Constitución,-35.3333,-72.4167,66.67,53,10,10.65
326,Camacha,33.0833,-16.3333,60.82,67,32,13.58
327,Sainte-Suzanne,-20.9061,55.6089,79.97,76,49,16.33
328,Thompson,55.7435,-97.8558,32.04,33,42,10.07
329,Labuhan,-6.8844,112.2051,86.59,64,53,7.61
330,San Rafael,-34.6177,-68.3301,75.56,35,0,17.29
331,Maceió,-9.6658,-35.7353,83.95,72,75,10.31
332,Phayao,19.25,100.25,93.6,40,11,5.44
333,Eufaula,31.8913,-85.1455,84.61,52,71,8.7
334,Nhamundá,-2.1861,-56.7131,84.4,80,94,3.15
335,Abhā,18.2164,42.5053,69.15,39,14,13.2
336,Hobyo,5.3505,48.5268,88.03,59,29,12.73
337,Auki,-8.7676,160.7034,82.6,70,51,6.85
338,Saldanha,-33.0117,17.9442,63.52,77,0,24.14
339,Jimeta,9.2833,12.4667,105.98,24,95,8.79
340,Bousso,10.4795,16.7117,106.92,4,99,8.21
341,Zenzeli,45.9241,47.0474,62.02,61,90,16.53
342,Kirkland Lake,48.1446,-80.0377,57.2,42,100,8.46
343,Sakaraha,-22.9,44.5333,91.4,36,0,5.82
344,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,72.64,51,0,5.79
345,Torbay,47.6666,-52.7314,42.37,92,74,15.28
346,Ambulu,-8.345,113.6058,85.46,60,18,7.76
347,Kondinskoye,59.6481,67.41,48.96,81,100,17.81
348,Mingora,34.7758,72.3625,88.36,20,5,7.85
